model,model_type,pair_id,category,phenomenon,good_sentence,bad_sentence,good_score,bad_score,score_difference,correct
gpt2,clm,571,island_effects,adjunct_island,What were the women descending without buying all steps?,What were the women descending all steps without buying?,-64.80644226074219,-63.08143615722656,-1.725006103515625,False
gpt2,clm,572,island_effects,adjunct_island,Who had that waitress insulted while worrying Veronica?,Who had that waitress insulted Veronica while worrying?,-65.72281646728516,-68.57679748535156,2.8539810180664062,True
gpt2,clm,573,island_effects,adjunct_island,Who has Craig approached after revealing Gary?,Who has Craig approached Gary after revealing?,-57.261199951171875,-59.486488342285156,2.2252883911132812,True
gpt2,clm,574,island_effects,adjunct_island,Who had every actress hidden before scaring Jessica?,Who had every actress hidden Jessica before scaring?,-70.10812377929688,-79.57981872558594,9.471694946289062,True
gpt2,clm,575,island_effects,adjunct_island,What had Erin passed while skated around every restaurant?,What had Erin passed every restaurant while skated around?,-66.6655044555664,-71.466064453125,4.800559997558594,True
gpt2,clm,576,island_effects,adjunct_island,What was Tamara looking like without hiding every photograph?,What was Tamara looking like every photograph without hiding?,-60.09288024902344,-63.53209686279297,3.4392166137695312,True
gpt2,clm,577,island_effects,adjunct_island,What had the Clintons broken without fixing this couch?,What had the Clintons broken this couch without fixing?,-58.30550003051758,-60.14411163330078,1.8386116027832031,True
gpt2,clm,578,island_effects,adjunct_island,What had Bill toured after bringing every mall?,What had Bill toured every mall after bringing?,-68.71294403076172,-65.93269348144531,-2.7802505493164062,False
gpt2,clm,579,island_effects,adjunct_island,What have the Borgias revealed after exploring some restaurants?,What have the Borgias revealed some restaurants after exploring?,-67.65907287597656,-75.45256042480469,7.793487548828125,True
gpt2,clm,580,island_effects,adjunct_island,Who was Stacy returning to after stunning Todd?,Who was Stacy returning to Todd after stunning?,-62.447025299072266,-62.17681121826172,-0.2702140808105469,False
gpt2,clm,581,island_effects,adjunct_island,What have these actresses looked like while bringing that painting?,What have these actresses looked like that painting while bringing?,-58.07688903808594,-68.48360443115234,10.406715393066406,True
gpt2,clm,582,island_effects,adjunct_island,Who was Bethany approaching while bothering every customer?,Who was Bethany approaching every customer while bothering?,-64.03716278076172,-67.07756042480469,3.0403976440429688,True
gpt2,clm,583,island_effects,adjunct_island,Who have many snakes scared after astounding Galileo?,Who have many snakes scared Galileo after astounding?,-73.03063201904297,-77.21232604980469,4.181694030761719,True
gpt2,clm,584,island_effects,adjunct_island,Who was Katherine criticizing after referencing Veronica?,Who was Katherine criticizing Veronica after referencing?,-59.891422271728516,-62.6511344909668,2.7597122192382812,True
gpt2,clm,585,island_effects,adjunct_island,Who was some cafe shocking after irritating the senators?,Who was some cafe shocking the senators after irritating?,-72.09152221679688,-75.85137176513672,3.7598495483398438,True
gpt2,clm,586,island_effects,adjunct_island,What does Lori think about without noticing many schools?,What does Lori think about many schools without noticing?,-61.87266159057617,-60.16376495361328,-1.7088966369628906,False
gpt2,clm,587,island_effects,adjunct_island,What had some ladies thought about while buying these prints?,What had some ladies thought about these prints while buying?,-50.896175384521484,-54.1391487121582,3.2429733276367188,True
gpt2,clm,588,island_effects,adjunct_island,Who should a lot of glasses upset without hurting Homer?,Who should a lot of glasses upset Homer without hurting?,-69.03239440917969,-72.50967407226562,3.4772796630859375,True
gpt2,clm,589,island_effects,adjunct_island,What has Paul biked to after thinking about some museum?,What has Paul biked to some museum after thinking about?,-67.54347229003906,-70.44715881347656,2.9036865234375,True
gpt2,clm,590,island_effects,adjunct_island,Who did all pants astound without irritating many pedestrians?,Who did all pants astound many pedestrians without irritating?,-83.23533630371094,-84.43598175048828,1.2006454467773438,True
gpt2,clm,591,island_effects,adjunct_island,What might every actress lift before appreciating a book?,What might every actress lift a book before appreciating?,-63.38554382324219,-68.01828002929688,4.6327362060546875,True
gpt2,clm,592,island_effects,adjunct_island,Who is Ellen healing after hurting Gregory?,Who is Ellen healing Gregory after hurting?,-56.887996673583984,-63.25009536743164,6.362098693847656,True
gpt2,clm,593,island_effects,adjunct_island,Who would this guest impress without approaching the women?,Who would this guest impress the women without approaching?,-61.184730529785156,-61.5866584777832,0.4019279479980469,True
gpt2,clm,594,island_effects,adjunct_island,Who is the waitress watching without discovering Joel?,Who is the waitress watching Joel without discovering?,-57.46028137207031,-59.69239044189453,2.2321090698242188,True
gpt2,clm,595,island_effects,adjunct_island,Who was Daniel hurting while admiring every senator?,Who was Daniel hurting every senator while admiring?,-63.319828033447266,-68.62580108642578,5.305973052978516,True
gpt2,clm,596,island_effects,adjunct_island,Who has Jodi criticized after hiding Paula?,Who has Jodi criticized Paula after hiding?,-63.64211654663086,-64.37014770507812,0.7280311584472656,True
gpt2,clm,597,island_effects,adjunct_island,What had Ronald driven to while concealing art galleries?,What had Ronald driven to art galleries while concealing?,-71.21018981933594,-70.72627258300781,-0.483917236328125,False
gpt2,clm,598,island_effects,adjunct_island,Who would some newspaper article disagree with without stunning Stacey?,Who would some newspaper article disagree with Stacey without stunning?,-68.20458221435547,-72.89547729492188,4.690895080566406,True
gpt2,clm,599,island_effects,adjunct_island,Who was Sandra leaving while discussing Lisa?,Who was Sandra leaving Lisa while discussing?,-53.43734359741211,-57.354915618896484,3.917572021484375,True
gpt2,clm,600,island_effects,adjunct_island,Who was every school firing before boasting about Steve?,Who was every school firing Steve before boasting about?,-64.57305908203125,-70.75625610351562,6.183197021484375,True
gpt2,clm,601,island_effects,adjunct_island,Who were some pedestrians observing before describing those guests?,Who were some pedestrians observing those guests before describing?,-66.93975830078125,-68.32907104492188,1.389312744140625,True
gpt2,clm,602,island_effects,adjunct_island,What had every sketch resembled before looking like some sketch?,What had every sketch resembled some sketch before looking like?,-70.08084106445312,-76.3050765991211,6.224235534667969,True
gpt2,clm,603,island_effects,adjunct_island,Who was the person bothering before observing Helen?,Who was the person bothering Helen before observing?,-54.26356887817383,-50.413726806640625,-3.849842071533203,False
gpt2,clm,604,island_effects,adjunct_island,Who had this book astounded without distracting Beth?,Who had this book astounded Beth without distracting?,-68.27604675292969,-67.74156951904297,-0.5344772338867188,False
gpt2,clm,605,island_effects,adjunct_island,Who was every adult visiting while disgusting Monica?,Who was every adult visiting Monica while disgusting?,-63.53062438964844,-60.06521224975586,-3.465412139892578,False
gpt2,clm,606,island_effects,adjunct_island,What had Alan messed up while discussing this school?,What had Alan messed up this school while discussing?,-58.290706634521484,-64.37622833251953,6.085521697998047,True
gpt2,clm,607,island_effects,adjunct_island,Who should Stephanie praise after talking to the drivers?,Who should Stephanie praise the drivers after talking to?,-58.82331848144531,-67.40577697753906,8.58245849609375,True
gpt2,clm,608,island_effects,adjunct_island,What has Elizabeth arrived at after buying some river?,What has Elizabeth arrived at some river after buying?,-59.88591384887695,-64.20294189453125,4.317028045654297,True
gpt2,clm,609,island_effects,adjunct_island,Who has Bill appreciated while disturbing Richard?,Who has Bill appreciated Richard while disturbing?,-57.6959114074707,-58.32948684692383,0.633575439453125,True
gpt2,clm,610,island_effects,adjunct_island,What was Richard touring after stunning Harvard University?,What was Richard touring Harvard University after stunning?,-60.799354553222656,-65.3715591430664,4.57220458984375,True
gpt2,clm,611,island_effects,adjunct_island,Who had many people healed while working with April?,Who had many people healed April while working with?,-56.971588134765625,-66.06880187988281,9.097213745117188,True
gpt2,clm,612,island_effects,adjunct_island,Who has Lori hugged without visiting Keith?,Who has Lori hugged Keith without visiting?,-60.332672119140625,-61.039886474609375,0.70721435546875,True
gpt2,clm,613,island_effects,adjunct_island,What did that student descend after revealing these ladders?,What did that student descend these ladders after revealing?,-68.04584503173828,-70.21630096435547,2.1704559326171875,True
gpt2,clm,614,island_effects,adjunct_island,Who should this doctor respect after worrying Lissa?,Who should this doctor respect Lissa after worrying?,-67.16807556152344,-68.98568725585938,1.8176116943359375,True
gpt2,clm,615,island_effects,adjunct_island,Who has the waitress listened to before appreciating Edward?,Who has the waitress listened to Edward before appreciating?,-65.26570129394531,-67.55157470703125,2.2858734130859375,True
gpt2,clm,616,island_effects,adjunct_island,Who did Pamela escape from while working with Claire?,Who did Pamela escape from Claire while working with?,-50.74298095703125,-57.97478103637695,7.231800079345703,True
gpt2,clm,617,island_effects,adjunct_island,Who has Kathleen fled from after observing Phillip?,Who has Kathleen fled from Phillip after observing?,-66.54889678955078,-67.95491027832031,1.4060134887695312,True
gpt2,clm,618,island_effects,adjunct_island,Who had the teenagers talked about before concealing Rodney?,Who had the teenagers talked about Rodney before concealing?,-68.46044158935547,-73.41937255859375,4.958930969238281,True
gpt2,clm,619,island_effects,adjunct_island,Who is Gerald attacking without arguing about Wendy?,Who is Gerald attacking Wendy without arguing about?,-62.16930389404297,-61.924591064453125,-0.24471282958984375,False
gpt2,clm,620,island_effects,adjunct_island,What has Regina boycotted before finding every glacier?,What has Regina boycotted every glacier before finding?,-76.8949203491211,-77.7956314086914,0.9007110595703125,True
gpt2,clm,621,island_effects,adjunct_island,Who has Douglas disgusted after aggravating Wayne?,Who has Douglas disgusted Wayne after aggravating?,-64.42176055908203,-70.54647827148438,6.124717712402344,True
gpt2,clm,622,island_effects,adjunct_island,Who had most pedestrians revealed without visiting a boy?,Who had most pedestrians revealed a boy without visiting?,-69.90231323242188,-75.11396789550781,5.2116546630859375,True
gpt2,clm,623,island_effects,adjunct_island,Who are a lot of museums hiring before disgusting Ann?,Who are a lot of museums hiring Ann before disgusting?,-71.87764739990234,-72.1871109008789,0.3094635009765625,True
gpt2,clm,624,island_effects,adjunct_island,Who has Beverly cared for without attacking Steven?,Who has Beverly cared for Steven without attacking?,-60.41859436035156,-61.68572998046875,1.2671356201171875,True
gpt2,clm,625,island_effects,adjunct_island,Who is Sonia hugging after visiting Noah?,Who is Sonia hugging Noah after visiting?,-55.69532012939453,-57.27934265136719,1.5840225219726562,True
gpt2,clm,626,island_effects,adjunct_island,Who could Bethany describe after approaching Jerry?,Who could Bethany describe Jerry after approaching?,-56.53928756713867,-60.79386901855469,4.254581451416016,True
gpt2,clm,627,island_effects,adjunct_island,Who could some essay worry while impressing Lori?,Who could some essay worry Lori while impressing?,-71.34449768066406,-76.12855529785156,4.7840576171875,True
gpt2,clm,628,island_effects,adjunct_island,Who has Carol fired while appreciating Steven?,Who has Carol fired Steven while appreciating?,-60.93512725830078,-68.28793334960938,7.352806091308594,True
gpt2,clm,629,island_effects,adjunct_island,Who can Sherry flee from while kissing Rose?,Who can Sherry flee from Rose while kissing?,-59.76887512207031,-61.17601776123047,1.4071426391601562,True
gpt2,clm,630,island_effects,adjunct_island,What are a lot of sketches looking like while looking like reports?,What are a lot of sketches looking like reports while looking like?,-61.71384048461914,-64.17910766601562,2.4652671813964844,True
gpt2,clm,631,island_effects,adjunct_island,Who has Cheryl forgotten while questioning Timothy?,Who has Cheryl forgotten Timothy while questioning?,-57.43804931640625,-61.76911163330078,4.331062316894531,True
gpt2,clm,632,island_effects,adjunct_island,What is Donna wearing before taking the shirts?,What is Donna wearing the shirts before taking?,-52.68856430053711,-59.28253936767578,6.593975067138672,True
gpt2,clm,633,island_effects,adjunct_island,What has Irene cleaned without fleeing from the movie theater?,What has Irene cleaned the movie theater without fleeing from?,-65.21044921875,-68.2393569946289,3.0289077758789062,True
gpt2,clm,634,island_effects,adjunct_island,What is every waitress cleaning while cleaning that restaurant?,What is every waitress cleaning that restaurant while cleaning?,-53.85054016113281,-53.330284118652344,-0.5202560424804688,False
gpt2,clm,635,island_effects,adjunct_island,What had Florence ascended after climbing down the steps?,What had Florence ascended the steps after climbing down?,-57.476776123046875,-56.22868347167969,-1.2480926513671875,False
gpt2,clm,636,island_effects,adjunct_island,What had Tracy boycotted without skated around most cafes?,What had Tracy boycotted most cafes without skated around?,-84.59754180908203,-86.63661193847656,2.0390701293945312,True
gpt2,clm,637,island_effects,adjunct_island,Who does a child hide without complaining about Dawn?,Who does a child hide Dawn without complaining about?,-60.33244705200195,-63.387855529785156,3.055408477783203,True
gpt2,clm,638,island_effects,adjunct_island,Who has Tiffany forgotten after criticizing that guy?,Who has Tiffany forgotten that guy after criticizing?,-53.469642639160156,-60.14925003051758,6.679607391357422,True
gpt2,clm,639,island_effects,adjunct_island,What had Veronica examined after arguing about all essays?,What had Veronica examined all essays after arguing about?,-72.80171203613281,-76.3919677734375,3.5902557373046875,True
gpt2,clm,640,island_effects,adjunct_island,Who is Denise noticing without appreciating Suzanne?,Who is Denise noticing Suzanne without appreciating?,-61.2778434753418,-59.885467529296875,-1.3923759460449219,False
gpt2,clm,641,island_effects,adjunct_island,What had that fish looked like after looking like those drawings?,What had that fish looked like those drawings after looking like?,-55.735206604003906,-63.15834045410156,7.423133850097656,True
gpt2,clm,642,island_effects,adjunct_island,Who had Ella fled from while attacking Kirsten?,Who had Ella fled from Kirsten while attacking?,-65.05711364746094,-67.2557373046875,2.1986236572265625,True
gpt2,clm,643,island_effects,adjunct_island,What might some drivers buy before healing a lot of snakes?,What might some drivers buy a lot of snakes before healing?,-69.72903442382812,-68.02482604980469,-1.7042083740234375,False
gpt2,clm,644,island_effects,adjunct_island,What is Chad ascending while admiring the steps?,What is Chad ascending the steps while admiring?,-61.7299690246582,-60.22314453125,-1.5068244934082031,False
gpt2,clm,645,island_effects,adjunct_island,What had Caroline examined while concealing the documentaries?,What had Caroline examined the documentaries while concealing?,-59.41978454589844,-66.00899505615234,6.589210510253906,True
gpt2,clm,646,island_effects,adjunct_island,What have a lot of drivers brought before admiring the dogs?,What have a lot of drivers brought the dogs before admiring?,-61.94544982910156,-68.03839874267578,6.092948913574219,True
gpt2,clm,647,island_effects,adjunct_island,What was Kayla taking after admiring the dress?,What was Kayla taking the dress after admiring?,-52.68685531616211,-61.37757110595703,8.690715789794922,True
gpt2,clm,648,island_effects,adjunct_island,Who could Allison shock while embarrassing Florence?,Who could Allison shock Florence while embarrassing?,-69.43934631347656,-67.26409912109375,-2.1752471923828125,False
gpt2,clm,649,island_effects,adjunct_island,Who had Mitchell shocked before revealing Ruth?,Who had Mitchell shocked Ruth before revealing?,-61.66521453857422,-65.62022399902344,3.9550094604492188,True
gpt2,clm,650,island_effects,adjunct_island,Who can Heather talk about while watching Lissa?,Who can Heather talk about Lissa while watching?,-55.70443344116211,-57.03041076660156,1.3259773254394531,True
gpt2,clm,651,island_effects,adjunct_island,What was Stacy dropping by while lifting many movie theaters?,What was Stacy dropping by many movie theaters while lifting?,-73.93793487548828,-69.02418518066406,-4.913749694824219,False
gpt2,clm,652,island_effects,adjunct_island,Who will Raymond kiss after firing Craig?,Who will Raymond kiss Craig after firing?,-53.68313980102539,-52.87199020385742,-0.8111495971679688,False
gpt2,clm,653,island_effects,adjunct_island,Who have a lot of men attacked before referencing Patricia?,Who have a lot of men attacked Patricia before referencing?,-67.81334686279297,-75.0267105102539,7.2133636474609375,True
gpt2,clm,654,island_effects,adjunct_island,Who should Helen see before attacking Erin?,Who should Helen see Erin before attacking?,-50.560150146484375,-52.703407287597656,2.1432571411132812,True
gpt2,clm,655,island_effects,adjunct_island,Who is Stephanie curing before observing Elaine?,Who is Stephanie curing Elaine before observing?,-66.1724624633789,-67.35506439208984,1.1826019287109375,True
gpt2,clm,656,island_effects,adjunct_island,Who was Valerie boring while boring Victoria?,Who was Valerie boring Victoria while boring?,-59.690250396728516,-63.26665496826172,3.576404571533203,True
gpt2,clm,657,island_effects,adjunct_island,Who has Teresa referenced while insulting all dancers?,Who has Teresa referenced all dancers while insulting?,-64.89737701416016,-71.46633911132812,6.568962097167969,True
gpt2,clm,658,island_effects,adjunct_island,What had Lissa skated around while scaring the hospitals?,What had Lissa skated around the hospitals while scaring?,-71.11849975585938,-73.8245849609375,2.706085205078125,True
gpt2,clm,659,island_effects,adjunct_island,What did some dancer remember before insulting most plays?,What did some dancer remember most plays before insulting?,-72.74971771240234,-74.05595397949219,1.3062362670898438,True
gpt2,clm,660,island_effects,adjunct_island,What had Andrew described while exploring that restaurant?,What had Andrew described that restaurant while exploring?,-51.228309631347656,-53.9234504699707,2.695140838623047,True
gpt2,clm,661,island_effects,adjunct_island,Who is Eric curing while approaching Larry?,Who is Eric curing Larry while approaching?,-60.42546844482422,-62.989013671875,2.5635452270507812,True
gpt2,clm,662,island_effects,adjunct_island,Who does Larry conceal after curing Kendra?,Who does Larry conceal Kendra after curing?,-59.63234329223633,-66.52708435058594,6.894741058349609,True
gpt2,clm,663,island_effects,adjunct_island,Who is Tracy revealing after bothering Angela?,Who is Tracy revealing Angela after bothering?,-58.36405563354492,-63.16571044921875,4.801654815673828,True
gpt2,clm,664,island_effects,adjunct_island,What had a lot of doctors messed up while arriving at schools?,What had a lot of doctors messed up schools while arriving at?,-59.72041320800781,-72.33236694335938,12.611953735351562,True
gpt2,clm,665,island_effects,adjunct_island,Who can Tiffany return to while talking to Martha?,Who can Tiffany return to Martha while talking to?,-58.48637008666992,-63.974266052246094,5.487895965576172,True
gpt2,clm,666,island_effects,adjunct_island,What had Tamara gone to before lifting most malls?,What had Tamara gone to most malls before lifting?,-67.1854476928711,-65.83556365966797,-1.349884033203125,False
gpt2,clm,667,island_effects,adjunct_island,Who was George admiring after leaving Noah?,Who was George admiring Noah after leaving?,-51.839046478271484,-51.892032623291016,0.05298614501953125,True
gpt2,clm,668,island_effects,adjunct_island,Who might Jesus work with before discovering Robert?,Who might Jesus work with Robert before discovering?,-54.58049011230469,-58.22739028930664,3.646900177001953,True
gpt2,clm,669,island_effects,adjunct_island,Who was Patricia kissing while concealing Edward?,Who was Patricia kissing Edward while concealing?,-58.33535385131836,-60.83778381347656,2.502429962158203,True
gpt2,clm,670,island_effects,adjunct_island,Who has Jessica boasted about while approaching Lucille?,Who has Jessica boasted about Lucille while approaching?,-60.347137451171875,-62.83942413330078,2.4922866821289062,True
gpt2,clm,671,island_effects,adjunct_island,Who is Sonia concealing before annoying Katherine?,Who is Sonia concealing Katherine before annoying?,-68.91167449951172,-73.0495834350586,4.137908935546875,True
gpt2,clm,672,island_effects,adjunct_island,What will Alan bring before discussing the river?,What will Alan bring the river before discussing?,-54.909637451171875,-59.64894485473633,4.739307403564453,True
gpt2,clm,673,island_effects,adjunct_island,Who does Tina reveal while noticing the boys?,Who does Tina reveal the boys while noticing?,-59.03095245361328,-66.09247589111328,7.0615234375,True
gpt2,clm,674,island_effects,adjunct_island,Who had some people concealed after observing Caroline?,Who had some people concealed Caroline after observing?,-64.91966247558594,-69.276611328125,4.3569488525390625,True
gpt2,clm,675,island_effects,adjunct_island,What did Anne break before taking unicycles?,What did Anne break unicycles before taking?,-55.72671127319336,-60.325103759765625,4.598392486572266,True
gpt2,clm,676,island_effects,adjunct_island,Who might Karla dislike while noticing Jeffrey?,Who might Karla dislike Jeffrey while noticing?,-62.8738899230957,-66.1495132446289,3.275623321533203,True
gpt2,clm,677,island_effects,adjunct_island,Who is Tanya impressing while hugging Brett?,Who is Tanya impressing Brett while hugging?,-59.57875442504883,-63.31971740722656,3.7409629821777344,True
gpt2,clm,678,island_effects,adjunct_island,What could Omar go to while finding this glacier?,What could Omar go to this glacier while finding?,-60.79475784301758,-68.08950805664062,7.294750213623047,True
gpt2,clm,679,island_effects,adjunct_island,Who had Kristin cared for after escaping from these children?,Who had Kristin cared for these children after escaping from?,-67.66361999511719,-67.03068542480469,-0.6329345703125,False
gpt2,clm,680,island_effects,adjunct_island,Who had Theodore described without astounding Russell?,Who had Theodore described Russell without astounding?,-69.17477416992188,-69.7547378540039,0.5799636840820312,True
gpt2,clm,681,island_effects,adjunct_island,Who had Vanessa talked to before investigating these teenagers?,Who had Vanessa talked to these teenagers before investigating?,-64.09066772460938,-64.01988220214844,-0.0707855224609375,False
gpt2,clm,682,island_effects,adjunct_island,Who had Curtis listened to while disturbing Jessica?,Who had Curtis listened to Jessica while disturbing?,-64.22032928466797,-68.21747589111328,3.9971466064453125,True
gpt2,clm,683,island_effects,adjunct_island,What had Ronald sold without discovering the rugs?,What had Ronald sold the rugs without discovering?,-61.174095153808594,-64.51197814941406,3.3378829956054688,True
gpt2,clm,684,island_effects,adjunct_island,What is Samantha skated around without insulting that closet?,What is Samantha skated around that closet without insulting?,-75.65802764892578,-75.64466857910156,-0.01335906982421875,False
gpt2,clm,685,island_effects,adjunct_island,Who could these cars impress without disgusting Andrew?,Who could these cars impress Andrew without disgusting?,-64.48072814941406,-67.54845428466797,3.0677261352539062,True
gpt2,clm,686,island_effects,adjunct_island,Who have the teachers investigated before revealing Guy?,Who have the teachers investigated Guy before revealing?,-62.30989074707031,-67.02084350585938,4.7109527587890625,True
gpt2,clm,687,island_effects,adjunct_island,What had Frank messed up while distracting the museum?,What had Frank messed up the museum while distracting?,-54.729434967041016,-61.46239471435547,6.732959747314453,True
gpt2,clm,688,island_effects,adjunct_island,What have most banks resembled before admiring that picture?,What have most banks resembled that picture before admiring?,-65.40613555908203,-70.55867004394531,5.152534484863281,True
gpt2,clm,689,island_effects,adjunct_island,Who had Pamela healed without approaching Sabrina?,Who had Pamela healed Sabrina without approaching?,-63.7782096862793,-65.5600814819336,1.7818717956542969,True
gpt2,clm,690,island_effects,adjunct_island,Who had most boys escaped from without boring Bill?,Who had most boys escaped from Bill without boring?,-72.87541198730469,-75.29238891601562,2.4169769287109375,True
gpt2,clm,691,island_effects,adjunct_island,Who has Kristin distracted while boasting about Winston Churchill?,Who has Kristin distracted Winston Churchill while boasting about?,-65.4166488647461,-71.53668975830078,6.1200408935546875,True
gpt2,clm,692,island_effects,adjunct_island,Who was Connie praising after stunning a lady?,Who was Connie praising a lady after stunning?,-59.64911651611328,-63.82467269897461,4.175556182861328,True
gpt2,clm,693,island_effects,adjunct_island,Who had Linda criticized without irritating Christina?,Who had Linda criticized Christina without irritating?,-62.94581985473633,-69.20032501220703,6.254505157470703,True
gpt2,clm,694,island_effects,adjunct_island,Who could Sandra fire after listening to Gina?,Who could Sandra fire Gina after listening to?,-59.63340377807617,-63.72121047973633,4.087806701660156,True
gpt2,clm,695,island_effects,adjunct_island,Who were these public parks scaring while upsetting most customers?,Who were these public parks scaring most customers while upsetting?,-73.24894714355469,-75.45852661132812,2.2095794677734375,True
gpt2,clm,696,island_effects,adjunct_island,What is Sonia discovering before hiding photographs?,What is Sonia discovering photographs before hiding?,-60.730159759521484,-62.30485534667969,1.5746955871582031,True
gpt2,clm,697,island_effects,adjunct_island,Who had a lot of students questioned before praising Connie?,Who had a lot of students questioned Connie before praising?,-64.71685028076172,-71.1191635131836,6.402313232421875,True
gpt2,clm,698,island_effects,adjunct_island,Who is Dennis healing after boasting about Lori?,Who is Dennis healing Lori after boasting about?,-64.2907943725586,-70.51960754394531,6.228813171386719,True
gpt2,clm,699,island_effects,adjunct_island,Who can Amy conceal without questioning many waitresses?,Who can Amy conceal many waitresses without questioning?,-73.30242156982422,-70.55206298828125,-2.7503585815429688,False
gpt2,clm,700,island_effects,adjunct_island,Who was Brett worrying without firing Peter?,Who was Brett worrying Peter without firing?,-57.22799301147461,-61.927894592285156,4.699901580810547,True
gpt2,clm,701,island_effects,adjunct_island,What has Eric forgotten while praising every movie?,What has Eric forgotten every movie while praising?,-58.734825134277344,-67.11444091796875,8.379615783691406,True
gpt2,clm,702,island_effects,adjunct_island,What does Lissa heal before taking all turtles?,What does Lissa heal all turtles before taking?,-66.63467407226562,-69.8978271484375,3.263153076171875,True
gpt2,clm,703,island_effects,adjunct_island,Who did Patricia praise without hurting the Borgias?,Who did Patricia praise the Borgias without hurting?,-63.745269775390625,-66.27445220947266,2.5291824340820312,True
gpt2,clm,704,island_effects,adjunct_island,What will Sara exit before running around every school?,What will Sara exit every school before running around?,-61.88085174560547,-64.40453338623047,2.523681640625,True
gpt2,clm,705,island_effects,adjunct_island,Who has every fork annoyed while bothering Anne?,Who has every fork annoyed Anne while bothering?,-67.5508804321289,-69.01348114013672,1.4626007080078125,True
gpt2,clm,706,island_effects,adjunct_island,Who has Harvard University criticized before listening to the adults?,Who has Harvard University criticized the adults before listening to?,-63.44508361816406,-72.45639038085938,9.011306762695312,True
gpt2,clm,707,island_effects,adjunct_island,Who had Caroline bothered without complaining about Jerry?,Who had Caroline bothered Jerry without complaining about?,-61.59560775756836,-67.96403503417969,6.368427276611328,True
gpt2,clm,708,island_effects,adjunct_island,Who will a lot of associations work with without insulting Suzanne?,Who will a lot of associations work with Suzanne without insulting?,-66.73287963867188,-71.53653717041016,4.803657531738281,True
gpt2,clm,709,island_effects,adjunct_island,Who had Margaret investigated before describing Julia?,Who had Margaret investigated Julia before describing?,-56.52135467529297,-62.986961364746094,6.465606689453125,True
gpt2,clm,710,island_effects,adjunct_island,What is Patrick selling without selling this vase?,What is Patrick selling this vase without selling?,-59.627586364746094,-60.96571350097656,1.3381271362304688,True
gpt2,clm,711,island_effects,adjunct_island,Who had Rebecca shocked while arguing about Lori?,Who had Rebecca shocked Lori while arguing about?,-60.207122802734375,-66.43008422851562,6.22296142578125,True
gpt2,clm,712,island_effects,adjunct_island,What has Janet biked to after fleeing from a library?,What has Janet biked to a library after fleeing from?,-64.85269165039062,-70.63993072509766,5.787239074707031,True
gpt2,clm,713,island_effects,adjunct_island,Who are those guys kissing before bothering Candice?,Who are those guys kissing Candice before bothering?,-54.92620849609375,-56.048194885253906,1.1219863891601562,True
gpt2,clm,714,island_effects,adjunct_island,What was Brad examining while concealing stories?,What was Brad examining stories while concealing?,-56.57574462890625,-63.17047882080078,6.594734191894531,True
gpt2,clm,715,island_effects,adjunct_island,Who is Patrick boasting about without complaining about Angela?,Who is Patrick boasting about Angela without complaining about?,-59.5651969909668,-62.33353042602539,2.7683334350585938,True
gpt2,clm,716,island_effects,adjunct_island,What has Bethany sold without messing up glasses?,What has Bethany sold glasses without messing up?,-58.3197021484375,-59.40595245361328,1.0862503051757812,True
gpt2,clm,717,island_effects,adjunct_island,Who had Jeffrey criticized after concealing Angela?,Who had Jeffrey criticized Angela after concealing?,-64.34780883789062,-64.76748657226562,0.419677734375,True
gpt2,clm,718,island_effects,adjunct_island,Who had Natalie discussed before attacking Kenneth?,Who had Natalie discussed Kenneth before attacking?,-57.98119354248047,-64.8183364868164,6.8371429443359375,True
gpt2,clm,719,island_effects,adjunct_island,Who is Claire firing without boasting about Irene?,Who is Claire firing Irene without boasting about?,-64.84454345703125,-66.69169616699219,1.8471527099609375,True
gpt2,clm,720,island_effects,adjunct_island,Who has Tracy left before praising Lori?,Who has Tracy left Lori before praising?,-56.49128341674805,-65.39363861083984,8.902355194091797,True
gpt2,clm,721,island_effects,adjunct_island,Who would this man discover without describing a lot of waiters?,Who would this man discover a lot of waiters without describing?,-65.44242858886719,-69.71674346923828,4.274314880371094,True
gpt2,clm,722,island_effects,adjunct_island,Who has Laurie hired without distracting Sherry?,Who has Laurie hired Sherry without distracting?,-62.99222183227539,-66.2762680053711,3.284046173095703,True
gpt2,clm,723,island_effects,adjunct_island,Who was James watching before disturbing some waiter?,Who was James watching some waiter before disturbing?,-59.85683059692383,-67.24683380126953,7.390003204345703,True
gpt2,clm,724,island_effects,adjunct_island,What can Jennifer like without bringing some books?,What can Jennifer like some books without bringing?,-51.05323028564453,-59.66387939453125,8.610649108886719,True
gpt2,clm,725,island_effects,adjunct_island,What should Theodore explore while scaring some museums?,What should Theodore explore some museums while scaring?,-67.84516906738281,-73.82704162597656,5.98187255859375,True
gpt2,clm,726,island_effects,adjunct_island,What was Kristin dropping by while revealing libraries?,What was Kristin dropping by libraries while revealing?,-67.87831115722656,-67.20542907714844,-0.672882080078125,False
gpt2,clm,727,island_effects,adjunct_island,What had Cindy driven to after skated around every river?,What had Cindy driven to every river after skated around?,-76.25724029541016,-76.46461486816406,0.20737457275390625,True
gpt2,clm,728,island_effects,adjunct_island,Who would Phillip fire without referencing Patricia?,Who would Phillip fire Patricia without referencing?,-59.81960678100586,-63.418766021728516,3.5991592407226562,True
